"TIME","GEO","SEX","FIELD","ISCED97","UNIT","Value","Flag and Footnotes"
"2003","Iceland","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","2,068",""
"2003","Iceland","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","1,220",""
"2003","Iceland","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","848",""
"2003","Liechtenstein","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","401",""
"2003","Liechtenstein","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","251",""
"2003","Liechtenstein","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","150",""
"2003","Norway","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","23,001",""
"2003","Norway","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","12,416",""
"2003","Norway","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","10,585",""
"2003","Switzerland","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","50,137",""
"2003","Switzerland","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","27,512",""
"2003","Switzerland","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","22,625",""
"2003","Former Yugoslav Republic of Macedonia, the","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","15,315",""
"2003","Former Yugoslav Republic of Macedonia, the","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","8,697",""
"2003","Former Yugoslav Republic of Macedonia, the","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","6,618",""
"2003","Albania","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","3,408",""
"2003","Albania","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","2,132",""
"2003","Albania","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","1,276",""
"2003","Turkey","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number",":",""
"2003","Turkey","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number",":",""
"2003","Turkey","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number",":",""
"2003","United States","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number",":","z"
"2003","United States","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number",":","z"
"2003","United States","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number",":","z"
"2003","Japan","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","355,454",""
"2003","Japan","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","196,325",""
"2003","Japan","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","159,129",""
"2004","European Union (current composition)","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","2,407,715","e"
"2004","European Union (current composition)","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","1,285,014","e"
"2004","European Union (current composition)","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","1,122,701","e"
"2004","European Union (before the accession of Croatia)","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","2,369,400","e"
"2004","European Union (before the accession of Croatia)","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","1,264,345","e"
"2004","European Union (before the accession of Croatia)","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","1,105,055","e"
"2004","Euro area (18 countries)","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","1,625,723","e"
"2004","Euro area (18 countries)","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","855,586","e"
"2004","Euro area (18 countries)","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","770,137","e"
"2004","Euro area (17 countries)","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","1,617,772","e"
"2004","Euro area (17 countries)","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","850,565","e"
"2004","Euro area (17 countries)","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","767,207","e"
"2004","Belgium","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number",":","n"
"2004","Belgium","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number",":","n"
"2004","Belgium","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number",":","n"
"2004","French Community in Belgium including small German-speaking Community","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number",":","n"
"2004","French Community in Belgium including small German-speaking Community","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number",":","n"
"2004","French Community in Belgium including small German-speaking Community","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number",":","n"
"2004","Flemish Community in Belgium","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number",":",""
"2004","Flemish Community in Belgium","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number",":",""
"2004","Flemish Community in Belgium","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number",":",""
"2004","Bulgaria","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","34,453",""
"2004","Bulgaria","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","21,219",""
"2004","Bulgaria","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","13,234",""
"2004","Czech Republic","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","92,674",""
"2004","Czech Republic","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","49,746",""
"2004","Czech Republic","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","42,928",""
"2004","Denmark","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","63,444",""
"2004","Denmark","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","27,263",""
"2004","Denmark","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","36,181",""
"2004","Germany (until 1990 former territory of the FRG)","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","579,770",""
"2004","Germany (until 1990 former territory of the FRG)","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","302,791",""
"2004","Germany (until 1990 former territory of the FRG)","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","276,979",""
"2004","Estonia","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","3,274",""
"2004","Estonia","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","2,294",""
"2004","Estonia","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","980",""
"2004","Ireland","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","61,552",""
"2004","Ireland","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","29,421",""
"2004","Ireland","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","32,131",""
"2004","Greece","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","47,560",""
"2004","Greece","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","25,361",""
"2004","Greece","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","22,199",""
"2004","Spain","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","118,397",""
"2004","Spain","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","57,421",""
"2004","Spain","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","60,976",""
"2004","France","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number",":",""
"2004","France","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number",":",""
"2004","France","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number",":",""
"2004","Croatia","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","38,315",""
"2004","Croatia","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","20,669",""
"2004","Croatia","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","17,646",""
"2004","Italy","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","400,674",""
"2004","Italy","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","225,595",""
"2004","Italy","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","175,079",""
"2004","Cyprus","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","1,199",""
"2004","Cyprus","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","969",""
"2004","Cyprus","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","230",""
